biden_approval,vote2016,vote2020,gss_trust,gss_bible,gss_spanking,social_none,social_fb,social_twitter,social_instagram,social_tiktok,social_pinterest,gender,race,education,income,urban_rural,state,age,region,voted2016,voted2020,race_white,college,noncollege_white
Approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Disagree,False,True,True,True,True,True,Male,Asian or Asian American,Completed graduate school,"Between $50,000 and $74,999",Urban,Michigan,25-44,Midwest,True,True,False,True,False
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Inspired word,Disagree,False,True,True,True,False,False,Female,White or Caucasian,"Some college, no degree","Under $15,000",Suburban,Arizona,45-64,Southwest,True,True,True,True,False
Approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Somewhat agree,False,True,True,True,True,False,Male,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,Kentucky,25-44,South,True,True,True,True,False
Approve,Did not vote,Did not vote,Can't be too careful,Inspired word,Don't know,False,True,True,True,False,True,Female,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Suburban,Ohio,25-44,Midwest,False,False,True,True,False
Neither approve nor disapprove,Did not vote,Did not vote,Can't be too careful,Inspired word,Somewhat disagree,False,False,False,False,False,True,Female,White or Caucasian,Graduated from high school,"Between $15,000 and $49,999",Urban,Indiana,18-24,Midwest,False,False,True,False,True
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Word of God,Agree,False,True,False,False,False,False,Female,White or Caucasian,"Some college, no degree","Over $150,000",Suburban,Georgia,25-44,Southeast,True,True,True,True,False
Strongly approve,Donald Trump,Joe Biden,Can't be too careful,Word of God,Agree,False,True,True,True,False,False,Male,Black or African American,"Some college, no degree","Between $50,000 and $74,999",Urban,California,25-44,Pacific,True,True,False,True,False
Disapprove,Donald Trump,Donald Trump,Can't be too careful,Word of God,Somewhat disagree,False,True,False,False,False,False,Male,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Urban,Tennessee,45-64,South,True,True,True,True,False
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Somewhat agree,False,True,True,True,False,False,Male,Black or African American,Completed graduate school,"Between $100,000 and $150,000",Suburban,California,25-44,Pacific,True,True,False,True,False
Somewhat approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Don't know,False,False,False,True,False,False,Female,Asian or Asian American,Completed graduate school,"Between $50,000 and $74,999",Urban,Massachusetts,25-44,Northeast,True,True,False,True,False
Somewhat approve,Donald Trump,Joe Biden,Can trust,Book of fables,Somewhat agree,True,False,False,False,False,False,Male,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Suburban,Ohio,18-24,Midwest,True,True,True,True,False
Somewhat approve,Did not vote,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,True,False,Female,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Suburban,Florida,25-44,Southeast,False,True,True,True,False
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,True,False,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,Tennessee,65+,South,True,True,True,True,False
Somewhat disapprove,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,True,True,Female,Asian or Asian American,Graduated from high school,"Under $15,000",Suburban,New York,25-44,Northeast,True,True,False,False,False
