date,stratum,president,rating,projected,hdi_95_lower,hdi_80_lower,hdi_50_lower,hdi_50_higher,hdi_80_higher,hdi_95_higher,updated
2023-02-04,BR,Lula da Silva,nsnr,8.2,6.07,6.78,7.41,8.9,9.57,10.37,2023-03-10
2023-02-04,BR,Lula da Silva,negativa,28.7,26.45,27.2,27.88,29.38,30.02,30.76,2023-03-10
2023-02-03,BR,Lula da Silva,regular,19.0,16.86,17.56,18.22,19.66,20.32,21.08,2023-03-10
2023-02-03,BR,Lula da Silva,positiva,44.0,41.69,42.47,43.15,44.6,45.23,45.97,2023-03-10
2023-02-03,BR,Lula da Silva,nsnr,8.2,6.03,6.8,7.43,8.87,9.52,10.3,2023-03-10
2023-02-03,BR,Lula da Silva,negativa,28.8,26.49,27.27,27.94,29.41,30.06,30.77,2023-03-10
2023-02-02,BR,Lula da Silva,regular,19.0,16.72,17.46,18.13,19.65,20.33,21.1,2023-03-10
2023-02-02,BR,Lula da Silva,positiva,44.0,41.61,42.41,43.12,44.63,45.32,46.07,2023-03-10
2023-02-02,BR,Lula da Silva,nsnr,8.2,5.96,6.79,7.46,8.95,9.64,10.4,2023-03-10
2023-02-02,BR,Lula da Silva,negativa,28.8,26.4,27.2,27.89,29.43,30.1,30.84,2023-03-10
2023-02-01,BR,Lula da Silva,regular,18.9,16.59,17.4,18.09,19.63,20.33,21.09,2023-03-10
2023-02-01,BR,Lula da Silva,positiva,44.1,41.56,42.37,43.12,44.66,45.35,46.14,2023-03-10
2023-02-01,BR,Lula da Silva,nsnr,8.3,5.95,6.8,7.47,9.03,9.71,10.52,2023-03-10
2023-02-01,BR,Lula da Silva,negativa,28.7,26.35,27.17,27.87,29.4,30.12,30.86,2023-03-10
2023-01-31,BR,Lula da Silva,regular,18.9,16.52,17.31,18.01,19.61,20.34,21.15,2023-03-10
2023-01-31,BR,Lula da Silva,positiva,44.1,41.57,42.35,43.08,44.69,45.39,46.2,2023-03-10
2023-01-31,BR,Lula da Silva,nsnr,8.3,6.03,6.79,7.51,9.08,9.77,10.6,2023-03-10
2023-01-31,BR,Lula da Silva,negativa,28.7,26.3,27.08,27.81,29.38,30.13,30.9,2023-03-10
2023-01-30,BR,Lula da Silva,regular,18.9,16.41,17.23,17.93,19.58,20.33,21.13,2023-03-10
2023-01-30,BR,Lula da Silva,positiva,44.1,41.48,42.32,43.09,44.71,45.41,46.25,2023-03-10
2023-01-30,BR,Lula da Silva,nsnr,8.4,6.02,6.81,7.51,9.15,9.87,10.67,2023-03-10
2023-01-30,BR,Lula da Silva,negativa,28.7,26.23,27.05,27.77,29.39,30.1,30.92,2023-03-10
2023-01-29,BR,Lula da Silva,regular,18.8,16.3,17.12,17.88,19.57,20.36,21.18,2023-03-10
