mean;sd;hdi_3%;hdi_97%;mcse_mean;mcse_sd;ess_bulk;ess_tail;r_hat
-0.63;0.21;-1.02;-0.25;0.0;0.0;9725.42;6646.71;1.0
-0.57;0.2;-0.94;-0.2;0.0;0.0;8650.33;7072.17;1.0
-0.62;0.2;-0.98;-0.25;0.0;0.0;8530.03;6990.11;1.0
-0.64;0.21;-1.01;-0.24;0.0;0.0;8964.54;6714.19;1.0
-0.6;0.2;-0.97;-0.23;0.0;0.0;8050.15;6668.48;1.0
-0.57;0.2;-0.95;-0.22;0.0;0.0;8538.78;6585.9;1.0
-0.48;0.21;-0.87;-0.09;0.0;0.0;9137.82;6684.06;1.0
-0.49;0.21;-0.88;-0.1;0.0;0.0;9189.29;6371.18;1.0
-0.47;0.21;-0.85;-0.07;0.0;0.0;8625.37;6304.64;1.0
-0.4;0.2;-0.77;-0.04;0.0;0.0;9400.34;6937.26;1.0
-0.4;0.2;-0.78;-0.02;0.0;0.0;9933.17;7058.86;1.0
-0.28;0.19;-0.63;0.08;0.0;0.0;8759.23;7149.0;1.0
-0.19;0.2;-0.56;0.2;0.0;0.0;9005.75;6625.32;1.0
-0.11;0.2;-0.51;0.25;0.0;0.0;9295.12;6601.48;1.0
-0.02;0.19;-0.39;0.34;0.0;0.0;8644.49;6587.95;1.0
-0.06;0.2;-0.45;0.3;0.0;0.0;8984.3;6165.96;1.0
-0.23;0.19;-0.6;0.12;0.0;0.0;7966.16;6093.03;1.0
-0.45;0.19;-0.8;-0.09;0.0;0.0;7884.23;6688.65;1.0
-0.45;0.2;-0.83;-0.07;0.0;0.0;8704.51;6499.04;1.0
-0.42;0.2;-0.78;-0.01;0.0;0.0;9276.52;7017.84;1.0
-0.36;0.19;-0.72;-0.01;0.0;0.0;8682.88;6620.1;1.0
-0.33;0.21;-0.73;0.04;0.0;0.0;9255.33;6286.47;1.0
-0.28;0.21;-0.65;0.12;0.0;0.0;9680.54;6155.9;1.0
-0.28;0.19;-0.63;0.08;0.0;0.0;9276.04;6199.18;1.0
-0.17;0.2;-0.56;0.2;0.0;0.0;10071.18;6544.44;1.0
-0.09;0.19;-0.45;0.28;0.0;0.0;10860.92;6497.4;1.0
-0.09;0.19;-0.44;0.29;0.0;0.0;9894.96;5953.11;1.0
-0.08;0.19;-0.43;0.31;0.0;0.0;9169.16;6051.03;1.0
-0.05;0.19;-0.4;0.32;0.0;0.0;8959.22;6066.13;1.0
-0.02;0.19;-0.38;0.34;0.0;0.0;10825.55;5953.79;1.0
-0.08;0.19;-0.44;0.28;0.0;0.0;9901.57;6601.45;1.0
-0.13;0.19;-0.48;0.23;0.0;0.0;9469.62;5975.92;1.0
-0.18;0.19;-0.53;0.17;0.0;0.0;8816.97;6220.39;1.0
-0.19;0.2;-0.57;0.17;0.0;0.0;9612.48;6642.32;1.0
-0.17;0.23;-0.62;0.25;0.0;0.0;11264.03;6404.4;1.0
0.0;0.0;0.0;0.0;0.0;0.0;8000.0;8000.0;
0.1;0.13;-0.14;0.35;0.0;0.0;13272.41;6056.82;1.0
0.14;0.15;-0.13;0.43;0.0;0.0;12601.18;5911.45;1.0
