biden_approval,vote2016,vote2020,gss_trust,gss_bible,gss_spanking,social_none,social_fb,social_twitter,social_instagram,social_tiktok,social_pinterest,gender,race,education,income,urban_rural,state,age,region,voted2016,voted2020,race_white,college,noncollege_white,weight
Somewhat disapprove,Did not vote,Donald Trump,Can't be too careful,Word of God,Somewhat disagree,False,True,True,True,True,False,Male,White or Caucasian,"Some college, no degree","Between $100,000 and $150,000",Suburban,Wisconsin,18-24,Midwest,False,True,True,True,False,9.626059188925915
Strongly disapprove,Did not vote,Donald Trump,Can't be too careful,Book of fables,Agree,False,True,False,True,False,False,Male,Other,"Some college, no degree","Under $15,000",Suburban,California,25-44,Pacific,False,True,False,True,False,0.3522319654338467
Approve,Did not vote,Did not vote,Can trust,Book of fables,Somewhat disagree,False,True,True,True,False,False,Male,White or Caucasian,Completed graduate school,"Between $15,000 and $49,999",Urban,Pennsylvania,25-44,Midwest,False,False,True,True,False,0.12106663957145478
Neither approve nor disapprove,Donald Trump,Donald Trump,Can't be too careful,I don’t know,Agree,False,True,False,True,False,True,Female,White or Caucasian,Completed graduate school,"Over $150,000",Rural,Louisiana,25-44,South,True,True,True,True,False,2.0840335395968927
Strongly disapprove,Did not vote,Other,Can't be too careful,I don’t know,Agree,True,False,False,False,False,False,Male,White or Caucasian,Graduated from high school,"Under $15,000",Suburban,Rhode Island,25-44,Northeast,False,True,True,False,True,0.7482260142841907
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Somewhat disagree,False,True,True,True,True,True,Female,Asian or Asian American,Graduated from college,"Between $50,000 and $74,999",Suburban,Florida,25-44,Southeast,True,True,False,True,False,0.04341862732124879
Disapprove,Hillary Clinton,Other,Can't be too careful,Book of fables,Somewhat disagree,False,True,True,True,False,True,Male,White or Caucasian,Graduated from college,"Between $100,000 and $150,000",Suburban,Maryland,25-44,Northeast,True,True,True,True,False,0.19531574607568242
Strongly approve,Donald Trump,Joe Biden,Can trust,Book of fables,Disagree,False,True,True,True,True,True,Male,White or Caucasian,Graduated from college,"Over $150,000",Suburban,Arizona,45-64,Southwest,True,True,True,True,False,1.043934478209609
Approve,Did not vote,Joe Biden,Can trust,Book of fables,Disagree,False,False,True,False,False,False,Male,White or Caucasian,Graduated from high school,"Under $15,000",Suburban,Kentucky,25-44,South,False,True,True,False,True,0.12480894881837921
Strongly approve,Did not vote,Joe Biden,Can trust,Book of fables,Somewhat disagree,False,False,True,False,False,False,Female,White or Caucasian,"Some college, no degree","Between $75,000 and $99,999",Suburban,Illinois,25-44,Midwest,False,True,True,True,False,1.060021034542703
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,True,False,False,False,False,False,Female,Other,Completed graduate school,"Over $150,000",Suburban,Virginia,25-44,South,True,True,False,True,False,0.19329437221637288
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,False,False,True,False,False,Male,White or Caucasian,Graduated from college,"Under $15,000",Urban,Arizona,25-44,Southwest,True,True,True,True,False,0.0183204364174831
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Don't know,False,True,False,True,False,False,Female,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Urban,Vermont,25-44,Northeast,True,True,True,True,False,0.49326401430050937
Somewhat approve,Other,Other,Can't be too careful,Book of fables,Somewhat agree,False,True,False,True,False,False,Female,White or Caucasian,Graduated from college,"Under $15,000",Suburban,New Jersey,25-44,Northeast,True,True,True,True,False,0.010129532062370267
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Somewhat agree,False,True,True,True,False,True,Female,Black or African American,Completed graduate school,"Between $50,000 and $74,999",Urban,Texas,25-44,South,True,True,False,True,False,0.3095059733422436
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Somewhat disagree,False,True,True,True,False,False,Male,Asian or Asian American,Graduated from college,"Between $15,000 and $49,999",Urban,New York,25-44,Northeast,True,True,False,True,False,0.03943083056042888
Approve,Other,Joe Biden,Can't be too careful,Inspired word,Somewhat agree,False,False,True,True,True,False,Female,Hispanic or Latino,Graduated from college,"Between $75,000 and $99,999",Rural,Oregon,18-24,Pacific,True,True,False,True,False,0.2973135950293552
Approve,Did not vote,Joe Biden,Can't be too careful,I don’t know,Don't know,False,False,True,True,False,False,Male,Asian or Asian American,"Some college, no degree","Under $15,000",Suburban,California,18-24,Pacific,False,True,False,True,False,0.07737035174663796
Somewhat approve,Donald Trump,Donald Trump,Can't be too careful,Word of God,Somewhat agree,False,True,False,True,True,True,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Rural,North Carolina,25-44,Southeast,True,True,True,True,False,0.11374638966268
Disapprove,Other,Did not vote,Can't be too careful,Book of fables,Somewhat agree,False,False,True,True,False,False,Male,Black or African American,Graduated from high school,"Between $15,000 and $49,999",Suburban,Texas,25-44,South,True,False,False,False,False,0.5265236145461136
Neither approve nor disapprove,Did not vote,Did not vote,Can't be too careful,I don’t know,Somewhat disagree,False,True,False,False,False,True,Female,White or Caucasian,Completed graduate school,"Between $100,000 and $150,000",Rural,Washington,25-44,Pacific,False,False,True,True,False,1.0020715762152925
Somewhat disapprove,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,False,True,True,False,Female,White or Caucasian,"Some college, no degree","Under $15,000",Suburban,Colorado,25-44,Southwest,True,True,True,True,False,0.08043111390700707
Somewhat disapprove,Did not vote,Joe Biden,Can trust,Book of fables,Somewhat disagree,False,False,True,True,True,False,Male,White or Caucasian,Graduated from high school,"Between $100,000 and $150,000",Suburban,Indiana,18-24,Midwest,False,True,True,False,True,4.478345521171315
Somewhat approve,Donald Trump,Did not vote,Can't be too careful,Book of fables,Somewhat agree,False,False,True,True,False,False,Male,Asian or Asian American,Graduated from college,"Between $75,000 and $99,999",Urban,Massachusetts,25-44,Northeast,True,False,False,True,False,0.027582521374971674
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,True,False,False,False,False,False,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,Florida,25-44,Southeast,True,True,True,True,False,0.019758245868893937
Approve,Did not vote,Did not vote,Can trust,Inspired word,Disagree,False,True,True,False,True,False,Male,White or Caucasian,Graduated from college,"Under $15,000",Suburban,New York,25-44,Northeast,False,False,True,True,False,0.062194791687710374
Somewhat disapprove,Hillary Clinton,Joe Biden,Can trust,Book of fables,Somewhat agree,False,False,True,True,False,False,Male,Asian or Asian American,"Some college, no degree","Under $15,000",Suburban,California,25-44,Pacific,True,True,False,True,False,0.04137964334878985
Somewhat approve,Did not vote,Joe Biden,Can't be too careful,Inspired word,Somewhat agree,False,True,True,True,True,False,Female,Asian or Asian American,Graduated from high school,"Between $15,000 and $49,999",Urban,New York,25-44,Northeast,False,True,False,False,False,1.010288058320164
Neither approve nor disapprove,Did not vote,Joe Biden,Can trust,Book of fables,Disagree,False,True,False,True,False,False,Female,Hispanic or Latino,Graduated from college,"Under $15,000",Urban,California,25-44,Pacific,False,True,False,True,False,0.09040723468126975
Somewhat approve,Did not vote,Joe Biden,Don’t know,Book of fables,Disagree,True,False,False,False,False,False,Male,White or Caucasian,Less than high school,"Under $15,000",Urban,Minnesota,25-44,Midwest,False,True,True,False,True,1.4016358576635648
Strongly approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,False,True,True,False,Male,Other,Completed graduate school,"Between $15,000 and $49,999",Rural,Missouri,25-44,South,True,True,False,True,False,0.011366151537479639
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Word of God,Somewhat disagree,False,True,False,True,False,False,Female,Black or African American,"Some college, no degree","Between $75,000 and $99,999",Suburban,Maryland,25-44,Northeast,True,True,False,True,False,3.903710670969147
Approve,Did not vote,Did not vote,Can't be too careful,I don’t know,Don't know,False,True,False,True,True,True,Female,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Rural,Pennsylvania,18-24,Midwest,False,False,True,True,False,0.4099152899572975
Neither approve nor disapprove,Did not vote,Joe Biden,Can't be too careful,Book of fables,Disagree,False,False,True,False,False,False,Female,White or Caucasian,"Some college, no degree","Under $15,000",Suburban,New York,18-24,Northeast,False,True,True,True,False,0.034334856113634175
Approve,Hillary Clinton,Joe Biden,Can trust,I don’t know,Somewhat disagree,False,True,False,True,False,True,Female,White or Caucasian,Completed graduate school,"Between $50,000 and $74,999",Suburban,Colorado,25-44,Southwest,True,True,True,True,False,0.5373388763953212
Somewhat disapprove,Did not vote,Joe Biden,Can't be too careful,Book of fables,Disagree,False,False,True,True,True,True,Female,White or Caucasian,"Some college, no degree","Between $50,000 and $74,999",Rural,Tennessee,18-24,South,False,True,True,True,False,0.06551361132829538
Neither approve nor disapprove,Other,Other,Can trust,Book of fables,Disagree,True,False,False,False,False,False,Male,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Suburban,Iowa,25-44,Midwest,True,True,True,True,False,0.0231633494745003
Somewhat approve,Did not vote,Did not vote,Can trust,Book of fables,Somewhat agree,False,False,False,True,False,False,Female,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Suburban,Tennessee,25-44,South,False,False,True,True,False,0.28789496447068524
Neither approve nor disapprove,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,False,False,False,False,Female,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Urban,Texas,25-44,South,True,True,True,True,False,0.0931247474473857
Approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,True,False,False,False,False,False,Male,White or Caucasian,Graduated from college,"Between $100,000 and $150,000",Suburban,New York,65+,Northeast,True,True,True,True,False,2.1833463042631793
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Somewhat disagree,False,True,True,True,False,True,Female,White or Caucasian,Graduated from high school,"Under $15,000",Suburban,Florida,45-64,Southeast,True,True,True,False,True,1.1015672643296441
Neither approve nor disapprove,Did not vote,Did not vote,Can't be too careful,Book of fables,Disagree,False,False,False,True,False,False,Other,Other,"Some college, no degree","Under $15,000",Urban,Indiana,25-44,Midwest,False,False,False,True,False,0.1595421660813348
Somewhat approve,Did not vote,Joe Biden,Can trust,Book of fables,Somewhat disagree,False,False,True,False,False,False,Female,Asian or Asian American,"Some college, no degree","Between $15,000 and $49,999",Urban,California,25-44,Pacific,False,True,False,True,False,0.24019637205327085
Strongly disapprove,Did not vote,Donald Trump,Can't be too careful,Book of fables,Agree,False,False,False,False,True,False,Male,White or Caucasian,Graduated from high school,"Between $15,000 and $49,999",Rural,Wisconsin,18-24,Midwest,False,True,True,False,True,1.3005688718847646
Strongly disapprove,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,False,True,True,False,False,Female,White or Caucasian,Graduated from college,"Under $15,000",Suburban,California,18-24,Pacific,True,True,True,True,False,0.009881551405989272
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,False,True,True,False,True,Female,White or Caucasian,Graduated from high school,"Under $15,000",Urban,North Dakota,25-44,Mountains,True,True,True,False,True,0.3278316293360272
Approve,Hillary Clinton,Joe Biden,Can't be too careful,I don’t know,Don't know,False,True,False,True,False,False,Female,Asian or Asian American,Graduated from college,"Over $150,000",Suburban,California,45-64,Pacific,True,True,False,True,False,3.334109530360704
Neither approve nor disapprove,Donald Trump,Joe Biden,Can trust,Book of fables,Don't know,False,True,True,True,False,False,Female,Asian or Asian American,Graduated from college,"Between $50,000 and $74,999",Urban,New York,25-44,Northeast,True,True,False,True,False,0.04030199655812015
Approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,False,True,False,True,Female,White or Caucasian,Completed graduate school,"Over $150,000",Suburban,Virginia,25-44,South,True,True,True,True,False,0.29148438402213406
Approve,Did not vote,Did not vote,Can't be too careful,Book of fables,Somewhat disagree,False,True,True,True,False,True,Male,Asian or Asian American,Graduated from college,"Between $100,000 and $150,000",Urban,California,25-44,Pacific,False,False,False,True,False,0.3281998452970139
Approve,Donald Trump,Joe Biden,Can't be too careful,Book of fables,Disagree,True,False,False,False,False,False,Male,Hispanic or Latino,"Some college, no degree","Under $15,000",Suburban,Minnesota,18-24,Midwest,True,True,False,True,False,0.03739616764952946
Neither approve nor disapprove,Did not vote,Did not vote,Can't be too careful,I don’t know,Disagree,False,False,False,True,True,True,Female,Asian or Asian American,"Some college, no degree","Under $15,000",Suburban,Massachusetts,18-24,Northeast,False,False,False,True,False,0.05206058539247087
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,False,True,True,False,False,Female,Asian or Asian American,Graduated from high school,"Over $150,000",Suburban,Texas,18-24,South,True,True,False,False,False,0.6979118047751508
Strongly disapprove,Donald Trump,Donald Trump,Don’t know,Inspired word,Don't know,False,True,False,False,False,False,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Rural,Indiana,45-64,Midwest,True,True,True,True,False,0.5115481181449697
Strongly approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Somewhat agree,False,True,True,False,False,False,Male,White or Caucasian,Graduated from college,"Between $75,000 and $99,999",Urban,District of Columbia (DC),25-44,Northeast,True,True,True,True,False,0.13940818733443783
Somewhat disapprove,Did not vote,Joe Biden,Can't be too careful,Inspired word,Disagree,False,False,True,True,False,False,Male,Hispanic or Latino,"Some college, no degree","Under $15,000",Suburban,California,25-44,Pacific,False,True,False,True,False,0.3648654370736226
Somewhat approve,Did not vote,Joe Biden,Can trust,Book of fables,Agree,False,True,False,True,False,False,Male,White or Caucasian,"Some college, no degree","Under $15,000",Urban,California,25-44,Pacific,False,True,True,True,False,0.2875959916821606
Approve,Hillary Clinton,Joe Biden,Don’t know,Book of fables,Somewhat disagree,False,False,False,True,False,False,Female,White or Caucasian,Graduated from high school,"Between $15,000 and $49,999",Urban,North Carolina,25-44,Southeast,True,True,True,False,True,0.5017819323913795
Somewhat disapprove,Did not vote,Joe Biden,Can't be too careful,Book of fables,Somewhat disagree,False,True,False,True,False,True,Female,Other,"Some college, no degree","Between $15,000 and $49,999",Urban,California,25-44,Pacific,False,True,False,True,False,0.30498912691520924
Somewhat approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Somewhat disagree,False,True,True,True,False,False,Female,White or Caucasian,Graduated from college,"Between $100,000 and $150,000",Suburban,California,25-44,Pacific,True,True,True,True,False,1.6808051263513475
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Don't know,False,True,True,True,True,False,Female,White or Caucasian,"Some college, no degree","Between $50,000 and $74,999",Rural,Pennsylvania,25-44,Midwest,True,True,True,True,False,0.2496620566114938
Somewhat approve,Did not vote,Did not vote,Can trust,Book of fables,Somewhat disagree,False,True,False,True,False,True,Female,White or Caucasian,Graduated from high school,"Under $15,000",Rural,Indiana,18-24,Midwest,False,False,True,False,True,0.2783630372475776
Somewhat approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,True,False,False,False,False,False,Female,White or Caucasian,Graduated from college,"Under $15,000",Urban,New York,25-44,Northeast,True,True,True,True,False,0.020099353228418763
Strongly approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Somewhat agree,False,True,True,False,False,False,Male,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Urban,North Carolina,25-44,Southeast,True,True,True,True,False,0.047121126584891794
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Agree,False,True,False,False,False,True,Female,Hispanic or Latino,"Some college, no degree","Between $15,000 and $49,999",Urban,Nevada,45-64,Southwest,True,True,False,True,False,15.470391235616487
Somewhat approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,True,True,False,False,Female,White or Caucasian,Completed graduate school,"Between $75,000 and $99,999",Urban,California,25-44,Pacific,True,True,True,True,False,0.04673265354980544
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Book of fables,Agree,False,True,True,True,False,True,Male,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Suburban,New York,45-64,Northeast,True,True,True,True,False,0.9244247882203593
Neither approve nor disapprove,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,False,True,True,True,False,Male,Other,Graduated from college,"Between $15,000 and $49,999",Suburban,Washington,25-44,Pacific,True,True,False,True,False,0.02148026479088741
Disapprove,Other,Other,Can't be too careful,Inspired word,Disagree,False,False,False,True,False,True,Female,White or Caucasian,"Some college, no degree","Between $50,000 and $74,999",Suburban,Texas,45-64,South,True,True,True,True,False,0.24018577682740908
Somewhat approve,Did not vote,Other,Can't be too careful,Word of God,Somewhat disagree,False,True,True,True,False,True,Male,Black or African American,Graduated from high school,"Between $15,000 and $49,999",Urban,Wisconsin,18-24,Midwest,False,True,False,False,False,2.172794982211689
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Inspired word,Somewhat disagree,False,True,True,False,False,False,Female,White or Caucasian,Graduated from high school,"Between $15,000 and $49,999",Rural,Michigan,45-64,Midwest,True,True,True,False,True,3.5706309297796315
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Word of God,Agree,False,True,True,True,False,False,Female,White or Caucasian,Graduated from high school,"Between $15,000 and $49,999",Rural,Tennessee,45-64,South,True,True,True,False,True,6.052724256128811
Neither approve nor disapprove,Did not vote,Joe Biden,Can't be too careful,I don’t know,Agree,False,True,False,False,False,False,Male,White or Caucasian,Graduated from high school,"Under $15,000",Suburban,West Virginia,25-44,South,False,True,True,False,True,1.2683579819801285
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Somewhat agree,False,True,True,True,False,True,Female,White or Caucasian,Graduated from high school,"Between $15,000 and $49,999",Rural,Arkansas,25-44,South,True,True,True,False,True,0.649378496227104
Somewhat approve,Did not vote,Did not vote,Can't be too careful,Inspired word,Disagree,True,False,False,False,False,False,Male,White or Caucasian,Graduated from high school,"Between $15,000 and $49,999",Rural,Florida,45-64,Southeast,False,False,True,False,True,0.8524123838355716
Somewhat disapprove,Did not vote,Did not vote,Can't be too careful,Book of fables,Don't know,False,True,False,False,True,False,Male,White or Caucasian,Graduated from college,"Between $100,000 and $150,000",Suburban,Texas,45-64,South,False,False,True,True,False,1.048934126362589
Strongly approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Somewhat disagree,False,True,True,True,False,True,Female,White or Caucasian,Completed graduate school,"Between $15,000 and $49,999",Suburban,North Carolina,25-44,Southeast,True,True,True,True,False,0.11962498362035241
Approve,Donald Trump,Joe Biden,Can trust,Inspired word,Don't know,True,False,False,False,False,False,Female,White or Caucasian,Completed graduate school,"Between $75,000 and $99,999",Suburban,Texas,65+,South,True,True,True,True,False,0.9875390647744983
Somewhat approve,Did not vote,Did not vote,Don’t know,Book of fables,Somewhat agree,False,False,True,False,False,False,Male,White or Caucasian,Graduated from high school,"Between $50,000 and $74,999",Suburban,Minnesota,18-24,Midwest,False,False,True,False,True,0.838914833205717
Disapprove,Did not vote,Other,Can trust,Book of fables,Disagree,False,True,True,True,True,True,Other,Asian or Asian American,"Some college, no degree","Under $15,000",Suburban,Indiana,18-24,Midwest,False,True,False,True,False,0.030271184263450664
Neither approve nor disapprove,Other,Did not vote,Can trust,Book of fables,Disagree,False,True,False,False,False,False,Male,White or Caucasian,Completed graduate school,"Over $150,000",Urban,Massachusetts,25-44,Northeast,True,False,True,True,False,0.26401460682928274
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Somewhat agree,False,True,True,False,False,False,Female,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Rural,Florida,65+,Southeast,True,True,True,True,False,0.4436139526600356
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Agree,True,False,False,False,False,False,Male,Asian or Asian American,"Some college, no degree","Between $15,000 and $49,999",Suburban,California,25-44,Pacific,True,True,False,True,False,0.16214292030169827
Approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,False,False,False,False,Female,White or Caucasian,"Some college, no degree","Between $50,000 and $74,999",Suburban,Arkansas,45-64,South,True,True,True,True,False,0.37671543337823027
Strongly disapprove,Donald Trump,Donald Trump,Can trust,Inspired word,Somewhat agree,False,True,False,True,False,True,Male,White or Caucasian,Graduated from college,"Between $75,000 and $99,999",Rural,California,65+,Pacific,True,True,True,True,False,2.050430711367091
Neither approve nor disapprove,Did not vote,Joe Biden,Can't be too careful,Book of fables,Somewhat agree,False,False,False,True,True,False,Male,Hispanic or Latino,"Some college, no degree","Between $15,000 and $49,999",Urban,Oregon,18-24,Pacific,False,True,False,True,False,0.41054833121709633
Somewhat approve,Donald Trump,Joe Biden,Can't be too careful,Book of fables,Don't know,False,False,False,True,False,False,Female,Hispanic or Latino,Graduated from college,"Between $75,000 and $99,999",Urban,Colorado,25-44,Southwest,True,True,False,True,False,0.3264669928078546
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Disagree,False,False,True,False,False,True,Female,White or Caucasian,"Some college, no degree","Under $15,000",Suburban,Idaho,25-44,Mountains,True,True,True,True,False,0.314967463592368
Somewhat approve,Did not vote,Joe Biden,Can trust,Inspired word,Agree,False,True,False,True,False,False,Female,Hispanic or Latino,Graduated from college,"Between $50,000 and $74,999",Urban,Texas,45-64,South,False,True,False,True,False,8.901087704375655
Approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Somewhat disagree,False,False,False,False,False,True,Female,White or Caucasian,Graduated from college,"Between $75,000 and $99,999",Rural,Missouri,45-64,South,True,True,True,True,False,0.3048184513382194
Strongly approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Somewhat agree,False,True,False,False,False,False,Male,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Urban,Wisconsin,65+,Midwest,True,True,True,True,False,3.583347884955173
Strongly disapprove,Did not vote,Donald Trump,Can trust,I don’t know,Don't know,False,True,True,True,False,False,Male,Asian or Asian American,"Some college, no degree","Under $15,000",Suburban,Michigan,18-24,Midwest,False,True,False,True,False,0.27064631339279727
Somewhat approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,True,True,False,False,Female,Asian or Asian American,"Some college, no degree","Between $75,000 and $99,999",Urban,California,25-44,Pacific,True,True,False,True,False,0.10273172479927264
Neither approve nor disapprove,Did not vote,Joe Biden,Can't be too careful,Inspired word,Don't know,False,False,True,False,True,True,Female,Asian or Asian American,"Some college, no degree","Under $15,000",Suburban,Maryland,18-24,Northeast,False,True,False,True,False,0.09494315093987946
Strongly approve,Hillary Clinton,Joe Biden,Don’t know,Book of fables,Don't know,True,False,False,False,False,False,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,Pennsylvania,65+,Midwest,True,True,True,True,False,1.0249218883097686
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Word of God,Somewhat agree,False,False,True,False,False,False,Male,White or Caucasian,Graduated from high school,"Between $15,000 and $49,999",Suburban,Florida,45-64,Southeast,True,True,True,False,True,2.4200414011550495
Somewhat approve,Did not vote,Joe Biden,Can trust,Book of fables,Disagree,False,False,True,False,True,False,Other,White or Caucasian,Graduated from high school,"Under $15,000",Suburban,Utah,25-44,Mountains,False,True,True,False,True,1.5900110469090456
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,True,True,Female,White or Caucasian,Graduated from college,"Between $75,000 and $99,999",Suburban,Indiana,25-44,Midwest,True,True,True,True,False,0.0693885055874993
Strongly approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,False,True,True,False,False,Male,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Suburban,Oregon,25-44,Pacific,True,True,True,True,False,0.050451090068657306
Somewhat approve,Other,Joe Biden,Can trust,Word of God,Somewhat agree,False,False,True,True,False,False,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,Georgia,25-44,Southeast,True,True,True,True,False,0.17258361296700117
Strongly approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Somewhat agree,True,False,False,False,False,False,Male,Hispanic or Latino,Graduated from college,"Under $15,000",Suburban,Florida,25-44,Southeast,True,True,False,True,False,0.06599569975236463
Somewhat disapprove,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Agree,False,False,True,True,False,True,Male,Asian or Asian American,Completed graduate school,"Between $15,000 and $49,999",Urban,Texas,25-44,South,True,True,False,True,False,0.08462766492101662
Somewhat approve,Did not vote,Did not vote,Can't be too careful,Book of fables,Somewhat agree,False,True,False,False,False,False,Male,Asian or Asian American,Graduated from college,"Between $15,000 and $49,999",Urban,New York,25-44,Northeast,False,False,False,True,False,0.046591805979134704
Approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Disagree,False,True,True,True,True,False,Other,White or Caucasian,Completed graduate school,"Between $15,000 and $49,999",Suburban,Oklahoma,45-64,Mountains,True,True,True,True,False,1.5233505296059129
Approve,Did not vote,Joe Biden,Can trust,Book of fables,Disagree,False,False,True,True,True,False,Female,White or Caucasian,"Some college, no degree","Under $15,000",Suburban,Maryland,18-24,Northeast,False,True,True,True,False,0.0466918469164147
Strongly approve,Did not vote,Joe Biden,Can trust,Book of fables,Disagree,True,False,False,False,False,False,Female,White or Caucasian,"Some college, no degree","Under $15,000",Urban,District of Columbia (DC),45-64,Northeast,False,True,True,True,False,0.22414101478860798
Neither approve nor disapprove,Did not vote,Did not vote,Can trust,Book of fables,Somewhat disagree,False,False,False,False,False,True,Female,White or Caucasian,Completed graduate school,"Between $15,000 and $49,999",Urban,Texas,25-44,South,False,False,True,True,False,0.09176821686540312
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Word of God,Somewhat disagree,False,True,True,True,False,False,Male,Black or African American,Completed graduate school,"Over $150,000",Urban,New York,25-44,Northeast,True,True,False,True,False,6.032000744570211
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Agree,False,True,True,True,False,False,Male,Black or African American,"Some college, no degree","Between $15,000 and $49,999",Urban,Florida,45-64,Southeast,True,True,False,True,False,3.4226770667526676
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,False,True,Female,Asian or Asian American,Completed graduate school,"Under $15,000",Suburban,Illinois,25-44,Midwest,True,True,False,True,False,0.005741178262113592
Somewhat approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Disagree,False,True,False,True,False,True,Female,Hispanic or Latino,"Some college, no degree","Between $75,000 and $99,999",Suburban,Utah,25-44,Mountains,True,True,False,True,False,5.8548819594187504
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Agree,True,False,False,False,False,False,Male,White or Caucasian,Completed graduate school,"Between $50,000 and $74,999",Suburban,Maryland,45-64,Northeast,True,True,True,True,False,0.35008646999117277
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,False,False,Female,White or Caucasian,Completed graduate school,"Between $75,000 and $99,999",Urban,California,25-44,Pacific,True,True,True,True,False,0.0343648632771645
Strongly approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Disagree,False,True,True,True,False,True,Female,White or Caucasian,Graduated from high school,"Between $50,000 and $74,999",Suburban,Missouri,45-64,South,True,True,True,False,True,2.464002816063009
Somewhat approve,Did not vote,Did not vote,Can trust,I don’t know,Somewhat agree,False,True,True,False,False,False,Male,Asian or Asian American,Graduated from college,"Between $15,000 and $49,999",Urban,New York,18-24,Northeast,False,False,False,True,False,0.10552936398786252
Somewhat approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Disagree,False,True,False,True,False,True,Female,Asian or Asian American,Graduated from college,"Under $15,000",Suburban,California,25-44,Pacific,True,True,False,True,False,0.02278935272823247
